SETTLEMENTDATE,DUID,BIDTYPE,OFFERDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
2019-11-30,OSB-AG,RAISEREG,2019-11-23 22:03:27,0.0,74.0,278.0,598.0,7680.0,8985.0,10970.0,12880.0,13978.0,14700.0
2019-11-30,PPCCGT,LOWER6SEC,2019-11-29 17:29:44,0.0,0.03,0.19,0.49,9.69,75.69,1999.69,3999.69,8999.69,14700.0
2019-11-30,QPS4,ENERGY,2019-11-29 10:45:54,-985.2,76.85,97.57,113.29,314.18,373.31,569.52,10421.44,12856.68,14482.44
2019-11-30,TORRB1,LOWER60SEC,2019-11-29 11:00:22,0.0,0.03,0.45,1.0,10.0,100.0,1010.0,4699.6,8999.9,14699.0
2019-11-30,TORRB4,LOWER5MIN,2019-11-13 14:27:48,0.0,0.8,1.6,79.85,300.0,1000.0,8500.0,9000.0,9500.0,14699.0
2019-11-30,TORRB4,LOWERREG,2019-11-13 14:27:48,0.0,10.99,18.99,45.99,269.99,1000.0,8999.99,11499.99,12899.99,14700.0
2019-11-30,DALNTH01,RAISE5MIN,2019-11-30 03:58:52,0.0,1.0,2.0,4.0,16.0,32.0,64.0,256.0,10000.0,14700.0
2019-11-30,DALNTH01,RAISE6SEC,2019-11-30 03:58:52,0.0,1.0,2.0,4.0,16.0,32.0,64.0,256.0,10000.0,14700.0
2019-11-30,HPRL1,RAISEREG,2019-11-30 03:56:13,0.0,8.0,18.0,25.0,34.0,60.0,90.0,270.0,500.0,12000.0
2019-11-30,LBBL1,LOWER6SEC,2019-11-30 03:33:17,0.0,0.95,1.95,2.95,3.95,4.95,5.95,7.95,9.95,14700.0
2019-11-30,LBBL1,RAISEREG,2019-11-30 03:33:17,0.0,8.95,14.17,19.83,28.22,34.8,60.0,185.0,440.0,14700.0
2019-11-30,HPRG1,RAISE60SEC,2019-11-30 03:56:13,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0
2019-11-30,PPCCGT,LOWER60SEC,2019-11-29 17:29:44,0.0,0.03,0.19,9.69,75.69,502.69,1999.69,4699.69,8999.69,14700.0
2019-11-30,QPS2,ENERGY,2019-11-29 10:45:54,-985.2,76.85,97.57,113.29,314.18,373.31,569.52,10421.44,12856.68,14482.44
2019-11-30,QPS5,ENERGY,2019-11-29 10:45:54,-985.2,76.85,97.57,113.29,314.18,373.31,569.52,10421.44,12856.68,14482.44
2019-11-30,QPS5,RAISEREG,2019-11-23 22:03:27,0.0,74.0,278.0,598.0,7680.0,8985.0,10970.0,12880.0,13978.0,14700.0
2019-11-30,TORRB2,LOWER5MIN,2019-11-22 13:15:28,0.0,0.8,1.6,79.85,300.0,1000.0,8500.0,9000.0,9500.0,14699.0
2019-11-30,TORRB1,ENERGY,2019-11-29 16:33:05,-999.7,0.0,37.99,68.98,86.97,114.97,147.96,484.85,11446.57,14695.59
2019-11-30,DALNTHL1,LOWER6SEC,2019-11-30 03:58:52,0.0,1.0,2.0,4.0,16.0,32.0,64.0,256.0,10000.0,14700.0
2019-11-30,PPCCGT,RAISE60SEC,2019-11-29 17:29:44,0.98,4.88,5.88,8.9,16.05,28.9,47.9,149.0,498.0,14700.0
2019-11-30,PPCCGT,RAISEREG,2019-11-29 17:29:44,1.99,9.99,13.8,17.79,32.99,59.99,99.99,298.0,999.0,14700.0
2019-11-30,QPS5,RAISE6SEC,2019-11-23 22:03:27,0.0,3.0,15.0,19.96,25.0,39.93,300.25,1500.0,14177.3,14700.0
2019-11-30,TORRB1,RAISE6SEC,2019-11-29 11:00:22,0.04,0.5,1.5,10.0,20.0,40.0,100.0,300.0,5000.0,14699.0
2019-11-30,TORRB3,RAISE5MIN,2019-11-22 13:15:28,0.04,0.5,20.0,40.0,75.0,300.0,8500.0,9000.0,9500.0,14699.0
2019-11-30,TORRB4,LOWER6SEC,2019-11-13 14:27:48,0.04,0.5,2.0,3.0,5.0,10.0,20.0,300.0,1000.0,14699.0
2019-11-30,HPRG1,LOWERREG,2019-11-30 03:56:13,0.0,9.5,13.0,20.0,32.0,55.0,272.0,520.0,945.0,12000.0
2019-11-30,LBBL1,LOWERREG,2019-11-30 03:33:17,0.0,8.95,13.1,18.95,32.45,41.0,87.0,230.0,490.0,14700.0
2019-11-30,DALNTH01,ENERGY,2019-11-30 03:58:52,-904.5,0.0,25.0,50.0,177.6,444.0,5000.0,7000.0,9000.0,13296.15
2019-11-30,HPRG1,RAISE5MIN,2019-11-30 03:56:13,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0
2019-11-30,OSB-AG,ENERGY,2019-11-29 10:45:54,-999.7,52.98,68.43,86.87,103.22,147.46,285.86,444.87,11486.55,14695.59
2019-11-30,OSB-AG,LOWERREG,2019-11-23 22:03:27,0.0,74.0,278.0,598.0,3992.0,7980.0,11982.0,12884.0,13080.0,14700.0
2019-11-30,QPS1,ENERGY,2019-11-29 10:45:54,-985.2,76.85,97.57,113.29,314.18,373.31,569.52,10421.44,12856.68,14482.44
2019-11-30,TORRB1,LOWER6SEC,2019-11-29 11:00:22,0.04,0.5,2.0,3.0,5.0,10.0,20.0,300.0,1000.0,14699.0
2019-11-30,TORRB1,LOWERREG,2019-11-29 11:00:22,0.0,10.99,18.99,45.99,269.99,1000.0,8999.99,11499.99,12899.99,14700.0
2019-11-30,TORRB1,RAISE60SEC,2019-11-29 11:00:22,0.04,0.5,5.0,10.0,20.0,40.0,100.0,300.0,5000.0,14699.0
2019-11-30,TORRB2,RAISEREG,2019-11-22 13:15:28,0.0,10.99,18.99,45.99,102.0,269.99,4999.99,11499.99,12899.99,14700.0
2019-11-30,TORRB3,LOWER6SEC,2019-11-13 14:17:19,0.04,0.5,2.0,3.0,5.0,10.0,20.0,300.0,1000.0,14699.0
2019-11-30,TORRB3,LOWERREG,2019-11-13 14:17:19,0.0,10.99,18.99,45.99,269.99,1000.0,8999.99,11499.99,12899.99,14700.0
2019-11-30,TORRB4,RAISEREG,2019-11-22 13:15:28,0.0,10.99,18.99,45.99,102.0,269.99,4999.99,11499.99,12899.99,14700.0
2019-11-30,DALNTHL1,ENERGY,2019-11-30 03:58:52,-999.0,0.0,25.0,50.0,100.0,500.0,5000.0,7000.0,9000.0,14685.3
2019-11-30,DALNTHL1,LOWER5MIN,2019-11-30 03:58:52,0.0,1.0,2.0,4.0,16.0,32.0,64.0,256.0,10000.0,14700.0
2019-11-30,HPRG1,RAISE6SEC,2019-11-30 03:56:13,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0
2019-11-30,LBBG1,ENERGY,2019-11-30 03:33:17,-992.2,-991.21,-149.63,-2.98,49.61,94.26,247.06,401.84,9922.0,14585.34
2019-11-30,LBBG1,RAISEREG,2019-11-30 03:33:17,0.0,8.95,14.17,19.83,28.22,34.8,60.0,185.0,440.0,14700.0
2019-11-30,LBBL1,LOWER5MIN,2019-11-30 03:33:17,0.0,0.95,1.95,2.95,3.95,4.95,5.95,7.95,9.95,14700.0
2019-11-30,LBBG1,RAISE60SEC,2019-11-30 03:33:17,0.0,0.48,0.95,1.95,2.8,2.95,4.95,9.95,29.65,14700.0
2019-11-30,OSB-AG,LOWER5MIN,2019-11-23 22:03:27,0.01,0.44,0.79,1.99,4.89,9.89,14.99,19.99,13799.99,14700.0
